"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0094985961914","94.2731323242188","100.438598632812","98.206901550293","87.7852325439453","94.3213272094727","93.3422088623047","101.523551940918","106.111106872559","101.216217041016","98.0555572509766","100","","","98.3739776611328","110.97371673584","","","","106.57698059082","105.760711669922","104.018547058105","104.709579467773","94.4444427490234","","","",
"Africa Eastern and Southern","AFE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","38.1252403259277","38.9617309570312","39.7052688598633","41.0459518432617","42.4659805297852","44.9027481079102","45.6962203979492","47.1448593139648","48.0932083129883","49.2423782348633","52.5325393676758","49.4303016662598","49.4126091003418","48.660701751709","47.4405517578125","45.9695091247559","46.7393493652344","47.4064788818359","46.0935897827148","47.6067314147949","46.6206703186035","47.0256309509277","47.5080108642578","47.2113609313965","46.0441207885742","46.1026496887207","45.7878303527832","47.6125106811523","48.8845901489258","50.1651382446289","51.2512397766113","53.4256286621094","56.1165885925293","57.7542610168457","61.1100883483887","65.2783737182617","65.5343170166016","63.9464492797852","64.2609634399414","64.335693359375","64.9343490600586","64.9963531494141","65.9729537963867","67.1645202636719","68.5067291259766","69.2089004516602","70.1874465942383","71.4917678833008","70.9357299804688","70.5362319946289","70.6514511108398","",
"Afghanistan","AFG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","4.4545202255249","","","5.5295000076294","6.32533979415894","","8.98491954803467","13.2112503051758","","","11.7486696243286","11.1336297988892","","","","","","","","15.8309202194214","","","","","","","","","","","","","","","","","","","","","","","65.9783172607422","69.8172378540039","70.6305313110352","69.6135025024414","","","","76.6787490844727","","",
"Africa Western and Central","AFW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","43.6944808959961","43.5201416015625","43.1321601867676","43.8106117248535","44.4490203857422","44.9968681335449","45.9370613098145","46.0141296386719","46.374870300293","46.8062400817871","47.0337905883789","47.2281608581543","47.411060333252","47.5269203186035","47.9522018432617","48.2225799560547","48.2890586853027","48.328800201416","48.6442108154297","48.717041015625","49.2346496582031","49.276538848877","49.2824096679688","49.065731048584","49.5927391052246","49.5374794006348","49.8380508422852","50.0803184509277","50.9192810058594","51.6655311584473","52.0337791442871","52.6660995483398","52.9712791442871","55.0176582336426","57.5700492858887","55.1731910705566","53.9218406677246","56.7372512817383","58.2267303466797","59.6541786193848","61.4106292724609","61.3914985656738","62.0557098388672","63.0304107666016","63.6671295166016","63.131519317627","63.2682800292969","63.4156188964844","63.8389015197754","64.5986175537109","63.4425392150879","64.2039794921875","64.4239501953125","",
"Angola","AGO","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3783416748047","37.2185592651367","36.9159943317359","36.5143820548142","","","","","","","","","","59.423173220938","","48.8188844332553","","",
"Albania","ALB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6217498779297","","","","95.3507995605469","96.4873275756836","","107.92537689209","104.720672607422","","","108.718589782715","109.860473632812","107.613922119141","101.488722478813","100.700137368724","118.649775497113","87.7723220670258","106.871686108165","98.1426965690735","99.869717910955","104.463066418374","102.025396825397","94.4761904761905","97.0400875104562","94.8492941625334","97.5027638681147","91.699604743083","107.245338439941","",
"Andorra","AND","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8837890625","96.0227279663086","98.3606567382812","","","","","","","","","","64.8","68.9655172413793","64.9171270718232","66.6666666666667","62.8895184135977","63.013698630137","60.8108108108108","60.5140186915888","","67.9900744416873","65.1948051948052","",
"Arab World","ARB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","49.8372802734375","49.3358993530273","49.8040084838867","50.0622711181641","51.928768157959","53.4217185974121","54.8632011413574","53.6344184875488","51.0503997802734","54.500659942627","57.1158294677734","57.9260292053223","58.9132385253906","60.5396003723145","63.6058692932129","63.0967597961426","63.1236305236816","63.9326286315918","64.1257095336914","65.2524719238281","65.370246887207","66.0888671875","66.2996063232422","66.9854583740234","67.987190246582","69.1392669677734","69.8970108032227","70.938232421875","72.0632705688477","71.7176132202148","72.5821380615234","73.5418319702148","75.3616027832031","76.9324035644531","77.4777221679688","76.2191925048828","78.0541534423828","79.0703506469727","77.8694000244141","78.4062881469727","78.8727493286133","80.2554626464844","76.4375991821289","76.4009399414062","75.6134796142578","75.4674911499023","75.6189880371094","76.7001419067383","77.1635894775391","78.2989501953125","78.2041931152344","79.6993713378906","80.5342102050781","81.6046981811523","",
"United Arab Emirates","ARE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","34.6615104675293","45.8998908996582","52.564510345459","59.257251739502","60.9017181396484","66.0637435913086","70.4159317016602","75.2832489013672","85.1811370849609","87.7267608642578","87.7318115234375","82.4509582519531","86.1735992431641","84.5472030639648","79.030029296875","83.2223281860352","89.6326522827148","95.7111511230469","95.4634094238281","94.1176528930664","94.8296203613281","94.1806869506836","90.6410980224609","90.8817672729492","92.4511566162109","99.2494430541992","110.646430969238","112.213371276855","107.776969909668","88.8420028686523","86.1215286254883","84.8389511108398","82.9654312133789","","","","","","","","","","","","104.976370118564","99.6485984991543","101.887640449438","98.9392950391645","98.5302808796541","100.922786638757","","",
"Argentina","ARG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","73.6693267822266","75.2126235961914","","","","81.314811706543","80.9332885742188","","","","","","","","","","","","","","","","","","","","94.2097778320312","94.2892990112305","103.562942504883","100.728843688965","100.006637573242","99.8243179321289","102.597869873047","100.172576904297","98.445426940918","95.4885330200195","96.5267486572266","99.3816528320312","102.988456726074","103.467819213867","103.621623975302","103.791505149105","104.005001038129","103.468628388216","105.570753849346","106.208514641268","107.808027044358","102.169574526945","100.941932583823","101.04723322764","101.135527844995","103.771069013895","100.946652004149","99.9205861634904","","",
"Armenia","ARM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.4292984008789","92.8352737426758","106.024459838867","96.9973678588867","95.7230224609375","103.194259643555","105.933036804199","","95.4119264908114","95.2792134123282","93.6739508318848","","91.7722627737226","91.4511453418973","88.0828729281768","89.1038315609469","86.6292951313194","91.6216355308528","93.7592791685865","93.6729663105998","92.0837405483257","93.4021889933714","96.5918451400329","",
"American Samoa","ASM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","76.6050109863281","76.819709777832","","","","","","","","","","","","","","","","85.5481719970703","","","","","","","","","","","","","","","","109.864860534668","104.551719665527","119.076011657715","114.263801574707","","115.453194650817","110.200927734375","99.5253219604492","99.6779388083736","106.980522155762","108.077537536621","108.412698412698","","","104.560260586319","","","",
"Australia","AUS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5028762817383","","100.30689239502","","","","","","","100.442520141602","96.7753067016602","98.5312423706055","98.0967864990234","98.6279830932617","96.5676727294922","98.8874206542969","98.2095718383789","98.9782028198242","97.4406890869141","100.079627990723","96.6240692138672","97.8916397094727","96.8827133178711","",
