FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020
A,Annual,AFG,Afghanistan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.4
A,Annual,AGO,Angola,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.4
A,Annual,ALB,Albania,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.6
A,Annual,ARE,United Arab Emirates,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.6
A,Annual,ARG,Argentina,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.9
A,Annual,ARM,Armenia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.5
A,Annual,AUS,Australia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.3
A,Annual,AUT,Austria,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.5
A,Annual,AZE,Azerbaijan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.7
A,Annual,BDI,Burundi,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.0
